record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,4,outer_test,random_mismatch,317,446,False,True,3.536329436889282,0.12200226314521209,1.4137250870437472,2.01123195655687,2.1166531677615534,1.255796464510827,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,4,outer_test,random_mismatch,320,315,False,True,4.811851787193629,1.1415926051444847,1.8095681114159965,3.016847934835305,2.1166531677615534,1.5547956227276907,1.1685088368814935,1.1007964258235519
pairwise,tfidf,1,3,4,outer_test,random_mismatch,338,395,False,True,1.6579999783769483,1.5337427366826664,0.05654900348174989,0.0,0.0,0.05979983164337272,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,4,outer_test,random_mismatch,344,338,False,True,3.3898944570339267,1.2635948682896967,2.092313128824746,0.0,0.5291632919403884,2.2125937708047907,0.5842544184407468,0.0
pairwise,tfidf,1,3,4,outer_test,random_mismatch,352,305,False,True,6.709863483093902,1.7167461314004846,4.184626257649492,2.01123195655687,0.5291632919403884,4.18598821503609,0.5842544184407468,1.5411149961529726
pairwise,tfidf,1,3,4,outer_test,random_mismatch,356,344,False,True,3.259597767187209,1.2635948682896967,1.5833720974889969,0.5028079891392175,1.0583265838807767,1.734195117657809,1.1685088368814935,0.8806371406588415
pairwise,tfidf,1,3,4,outer_test,random_mismatch,367,313,False,True,3.669365020759505,0.21786118418787875,0.6785880417809986,0.0,0.0,0.7175979797204727,2.337017673762987,2.6419114219765243
pairwise,tfidf,1,3,4,outer_test,random_mismatch,371,352,False,True,4.911924749566282,2.8757676312799996,2.431607149715245,1.005615978278435,1.0583265838807767,2.4517930973782813,1.1685088368814935,0.6604778554941311
pairwise,tfidf,1,3,4,outer_test,random_mismatch,380,475,False,True,2.2877939450447946,0.5490101841534545,1.4137250870437472,0.5028079891392175,0.5291632919403884,1.4351959594409454,0.5842544184407468,0.0
pairwise,tfidf,1,3,4,outer_test,random_mismatch,383,380,False,True,1.381022534001175,0.4792946052133332,0.5654900348174989,0.5028079891392175,0.5291632919403884,0.5381984847903545,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,4,outer_test,random_mismatch,393,436,False,True,1.4845208562702066,0.5838679736235151,0.7916860487444984,0.0,0.0,0.8371976430072181,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,4,outer_test,random_mismatch,395,367,False,True,2.4720285171891883,1.159021499879515,0.4523920278539991,0.5028079891392175,0.5291632919403884,0.5381984847903545,1.1685088368814935,1.5411149961529726
pairwise,tfidf,1,3,4,outer_test,random_mismatch,397,491,False,True,2.3911885456527897,0.4008645789056969,0.22619601392699956,1.5084239674176525,1.587489875821165,0.41859882150360905,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,4,outer_test,random_mismatch,425,317,False,True,1.6833794792087768,0.5838679736235151,0.9613330591897481,0.0,0.0,1.0165971379373362,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,4,outer_test,random_mismatch,430,393,False,True,3.9700031676051286,0.7145846841362423,0.6220390382992488,2.5140399456960876,2.645816459701942,0.35879898986023634,1.1685088368814935,0.22015928516471037
pairwise,tfidf,1,3,4,outer_test,random_mismatch,436,430,False,True,4.135684205991117,0.13071671051272724,0.16964701044524966,2.5140399456960876,2.645816459701942,0.47839865314698177,1.7527632553222403,0.6604778554941311
pairwise,tfidf,1,3,4,outer_test,random_mismatch,439,307,False,True,2.6311994209620075,0.5577246315209696,1.6964701044524966,0.5028079891392175,0.5291632919403884,1.734195117657809,0.0,0.44031857032942073
pairwise,tfidf,1,3,4,outer_test,random_mismatch,446,356,False,True,3.4420386507691685,0.5228668420509089,1.3006270800802475,1.005615978278435,1.0583265838807767,1.255796464510827,1.7527632553222403,1.761274281317683
pairwise,tfidf,1,3,4,outer_test,random_mismatch,447,320,False,True,6.299414962128711,0.8017291578113938,2.997097184532744,3.5196559239745224,2.645816459701942,2.750792255595145,0.0,1.761274281317683
pairwise,tfidf,1,3,4,outer_test,random_mismatch,459,425,False,True,2.892160709203592,1.2635948682896967,1.2440780765984976,0.5028079891392175,0.5291632919403884,1.255796464510827,1.1685088368814935,1.3209557109882621
pairwise,tfidf,1,3,4,outer_test,random_mismatch,474,371,False,True,1.5745036595657969,0.348577894700606,0.16964701044524966,1.005615978278435,1.0583265838807767,0.05979983164337272,0.0,0.44031857032942073
pairwise,tfidf,1,3,4,outer_test,random_mismatch,475,439,False,True,0.4894399453304654,0.28757676312799996,0.22619601392699956,0.0,0.0,0.23919932657349088,0.0,0.22015928516471037
pairwise,tfidf,1,3,4,outer_test,random_mismatch,489,397,False,True,2.0256121744205378,0.3834356841706666,0.22619601392699956,0.0,0.0,0.23919932657349088,1.7527632553222403,0.8806371406588415
pairwise,tfidf,1,3,4,outer_test,random_mismatch,491,489,False,True,2.8174974372180395,0.0174288947350303,0.0,1.5084239674176525,1.587489875821165,0.17939949493011817,1.1685088368814935,1.3209557109882621
